key,de,en
source,Quelle,Source
year,Jahr,Year
bln,Mrd,Bln
intro,"Wählen Sie rechts Elemente aus, um auf die Gesamtsumme von %value% Mrd. € zu kommen. Berühren Sie die roten Balken, um mehr Informationen über die jeweiligen Werte zu erhalten.",Select elements from the list on the right side to calculate the overall amount in %value% billion euros. Click on the red bars to see more information.
end-title,Das ist zu viel!,This is too much!
end-message-sum,Sie haben schon,You already selected
end-message-item,Zusammen mit %item% (%value%) sind das mehr als,Together with %item% (%value%) this is more than
end-message-reset,Neu starten,Start again
end-message-reselect,Etwas anderes auswählen,Select something different
end-message-empty,%item% (%value%) sind mehr als,
